episode,reward,rail length
829,-333.84526422799524,5
830,-367.76032900059295,4
831,-368.76032900059295,4
832,-377.26032900059295,4
833,-374.76032900059295,4
834,-380.76032900059295,4
835,-364.26032900059295,4
836,-271.1306403446053,6
837,-381.76032900059295,4
838,-384.26032900059295,4
839,4.5398883655775535,11
840,-164.04223466203337,8
841,-375.26032900059295,4
842,-431.5815238949143,3
843,-382.76032900059295,4
844,-376.76032900059295,4
845,-278.1306403446053,6
846,-317.34526422799524,5
847,-381.76032900059295,4
848,-374.76032900059295,4
849,-433.0815238949143,3
850,-367.76032900059295,4
851,-369.26032900059295,4
852,-338.84526422799524,5
853,-95.42107717301701,9
854,-311.34526422799524,5
855,-376.26032900059295,4
856,-379.76032900059295,4
857,-377.76032900059295,4
858,-11.460111634422447,11
859,-320.84526422799524,5
860,-381.26032900059295,4
861,-332.34526422799524,5
862,-112.42107717301701,9
863,-364.76032900059295,4
864,-367.76032900059295,4
865,-370.76032900059295,4
866,-372.76032900059295,4
867,-373.76032900059295,4
868,-282.1306403446053,6
869,-324.34526422799524,5
870,-378.76032900059295,4
871,-383.26032900059295,4
872,-376.26032900059295,4
873,-370.26032900059295,4
874,-375.26032900059295,4
875,-375.26032900059295,4
876,-263.1306403446053,6
877,-381.76032900059295,4
878,-363.26032900059295,4
879,-375.26032900059295,4
880,-379.76032900059295,4
881,-376.76032900059295,4
882,-379.76032900059295,4
883,-373.76032900059295,4
884,-367.26032900059295,4
885,-209.81508458632646,7
886,-381.26032900059295,4
887,-117.92107717301701,9
888,-370.76032900059295,4
889,-295.6306403446053,6
890,-373.26032900059295,4
891,-336.84526422799524,5
892,-379.26032900059295,4
893,-132.921077173017,9
894,-375.26032900059295,4
895,-380.76032900059295,4
896,-231.31508458632646,7
897,-480.3226537463707,2
898,-383.26032900059295,4
899,-380.26032900059295,4
900,-264.1306403446053,6
901,-211.31508458632646,7
902,-123.42107717301701,9
903,-383.26032900059295,4
904,-222.81508458632646,7
905,-179.04223466203337,8
906,-380.76032900059295,4
907,-382.26032900059295,4
908,-375.76032900059295,4
909,-362.76032900059295,4
910,-529.5,1
911,-382.26032900059295,4
912,-368.76032900059295,4
913,-98.92107717301701,9
914,-376.76032900059295,4
915,-371.76032900059295,4
916,-351.76032900059295,4
917,-122.92107717301701,9
918,-369.76032900059295,4
919,-277.1306403446053,6
920,-390.26032900059295,4
921,-117.42107717301701,9
922,-326.34526422799524,5
923,-319.84526422799524,5
924,-376.26032900059295,4
925,-429.0815238949143,3
926,-120.42107717301701,9
927,-322.84526422799524,5
928,-224.31508458632646,7
929,-67.03729410291623,10
930,-329.84526422799524,5
931,-97.42107717301701,9
932,-112.92107717301701,9
933,-54.037294102916235,10
934,-325.34526422799524,5
935,-277.6306403446053,6
936,-388.76032900059295,4
937,-392.26032900059295,4
938,-378.26032900059295,4
939,-376.26032900059295,4
940,-238.31508458632646,7
941,-316.34526422799524,5
942,-118.42107717301701,9
943,-375.26032900059295,4
944,-431.5815238949143,3
945,-379.26032900059295,4
946,-385.26032900059295,4
947,-373.26032900059295,4
948,-377.26032900059295,4
949,-362.76032900059295,4
950,-330.84526422799524,5
951,-125.92107717301701,9
952,-383.76032900059295,4
953,-379.26032900059295,4
954,-384.76032900059295,4
955,-40.037294102916235,10
956,-336.34526422799524,5
957,-105.42107717301701,9
958,-178.54223466203337,8
959,-381.76032900059295,4
960,-111.42107717301701,9
961,-382.76032900059295,4
962,-380.76032900059295,4
963,-65.03729410291623,10
964,-222.31508458632646,7
965,-386.26032900059295,4
966,-279.1306403446053,6
967,-424.0815238949143,3
968,-128.421077173017,9
969,-384.76032900059295,4
970,-327.34526422799524,5
971,-378.26032900059295,4
972,-49.037294102916235,10
973,-225.31508458632646,7
974,-375.26032900059295,4
975,-366.76032900059295,4
976,-384.76032900059295,4
977,-289.1306403446053,6
978,-423.0815238949143,3
979,-289.6306403446053,6
980,-269.6306403446053,6
981,-383.26032900059295,4
982,-374.76032900059295,4
983,-382.76032900059295,4
984,-68.03729410291623,10
985,-374.26032900059295,4
986,-289.6306403446053,6
987,-373.76032900059295,4
988,-366.26032900059295,4
989,-427.0815238949143,3
990,-381.76032900059295,4
991,-385.76032900059295,4
992,-431.5815238949143,3
993,-156.54223466203337,8
994,-364.76032900059295,4
995,-169.54223466203337,8
996,-362.26032900059295,4
997,-340.34526422799524,5
998,47.753312392089356,12
999,-344.34526422799524,5
1000,-379.26032900059295,4
1001,-323.34526422799524,5
1002,-378.26032900059295,4
1003,-118.92107717301701,9
1004,-374.26032900059295,4
1005,-82.53729410291623,10
1006,-381.26032900059295,4
1007,-3.4601116344224465,11
1008,-388.76032900059295,4
1009,-388.26032900059295,4
1010,-381.76032900059295,4
1011,-216.81508458632646,7
1012,-381.26032900059295,4
1013,-382.26032900059295,4
1014,-417.0815238949143,3
1015,-383.26032900059295,4
1016,-370.76032900059295,4
1017,-526.5,1
1018,-195.04223466203337,8
1019,-381.76032900059295,4
