episode,reward,rail length,game win
776,1267.9774386215788,6,False
777,1022.9774386215787,6,False
778,-212.88105691198098,5,False
779,2617.331061351866,8,False
780,52.11894308801902,5,False
781,1877.3310613518665,8,False
782,1493.239661654694,7,False
783,1622.3310613518665,8,False
784,1959.815691307932,9,False
785,1912.3310613518665,8,False
786,2510.3508235883346,10,False
787,77.11894308801902,5,False
788,1518.239661654694,7,False
789,2304.815691307932,9,False
790,987.9774386215788,6,False
791,3314.5132495683574,12,False
792,1727.3310613518665,8,False
793,1477.3310613518665,8,False
794,2279.815691307932,9,False
795,2084.815691307932,9,False
796,232.9774386215788,6,False
797,642.9774386215788,6,False
798,968.2396616546941,7,False
799,2415.350823588335,10,False
800,1282.9774386215786,6,False
801,-102.88105691198098,5,False
802,2047.3310613518665,8,False
803,3655.3508235883346,10,False
804,1017.9774386215788,6,False
805,1814.815691307932,9,False
806,187.11894308801902,5,False
807,1072.9774386215788,6,False
808,297.118943088019,5,False
809,142.11894308801902,5,False
810,1533.239661654694,7,False
811,2024.815691307932,9,False
812,142.9774386215788,6,False
813,1327.9774386215788,6,False
814,3024.815691307932,9,False
815,1127.9774386215788,6,False
816,1002.9774386215787,6,False
817,1202.9774386215786,6,False
818,2264.815691307932,9,False
819,937.9774386215788,6,False
820,992.9774386215787,6,False
821,2122.3310613518665,8,False
822,997.9774386215787,6,False
823,1388.239661654694,7,False
824,1252.9774386215786,6,False
825,1994.815691307932,9,False
826,1538.239661654694,7,False
827,1013.2396616546941,7,False
828,192.9774386215788,6,False
829,1323.2396616546941,7,False
830,2172.331061351866,8,False
831,472.9774386215788,6,False
832,1713.239661654694,7,False
833,1388.239661654694,7,False
834,1822.3310613518665,8,False
835,2529.815691307932,9,False
836,147.11894308801902,5,False
837,1212.9774386215786,6,False
838,1512.3310613518665,8,False
839,1407.9774386215788,6,False
840,1297.9774386215786,6,False
841,1408.2396616546941,7,False
842,1782.3310613518665,8,False
843,2445.350823588335,10,False
844,2144.815691307932,9,False
845,2889.815691307932,9,False
846,1293.2396616546941,7,False
847,1472.3310613518665,8,False
848,867.9774386215788,6,False
849,2042.3310613518665,8,False
850,1182.9774386215788,6,False
851,1852.3310613518665,8,False
852,1632.3310613518665,8,False
853,2869.815691307932,9,False
854,2510.350823588335,10,False
855,1263.239661654694,7,False
856,792.9774386215788,6,False
857,2227.3310613518665,8,False
858,2282.3310613518665,8,False
859,777.9774386215788,6,False
860,327.9774386215788,6,False
861,547.9774386215788,6,False
862,1507.3310613518665,8,False
863,2300.350823588335,10,False
864,1333.239661654694,7,False
865,1022.9774386215788,6,False
866,1998.239661654694,7,False
867,2097.3310613518665,8,False
868,2387.331061351866,8,False
869,2337.3310613518665,8,False
870,927.9774386215788,6,False
871,-653.5413160023719,4,False
872,1267.9774386215788,6,False
873,1048.2396616546941,7,False
874,337.118943088019,5,False
875,1722.3310613518665,8,False
876,1643.239661654694,7,False
877,1157.9774386215786,6,False
878,2157.331061351866,8,False
879,417.118943088019,5,False
880,2375.350823588335,10,False
881,1087.9774386215786,6,False
882,1488.2396616546941,7,False
883,-12.881056911980977,5,False
884,-193.5413160023719,4,False
885,-27.881056911980977,5,False
886,2744.815691307932,9,False
887,1622.3310613518665,8,False
888,292.9774386215788,6,False
889,927.9774386215788,6,False
890,2032.3310613518665,8,False
891,1122.9774386215788,6,False
892,327.118943088019,5,False
893,1577.3310613518665,8,False
894,1297.9774386215786,6,False
895,1277.9774386215786,6,False
896,1192.9774386215786,6,False
897,917.9774386215788,6,False
898,1957.3310613518665,8,False
899,1658.2396616546941,7,False
900,652.9774386215788,6,False
901,257.9774386215788,6,False
902,1994.815691307932,9,False
903,1293.2396616546941,7,False
904,1357.9774386215788,6,False
905,1097.9774386215788,6,False
906,1098.239661654694,7,False
907,2237.3310613518665,8,False
908,507.9774386215788,6,False
909,762.9774386215788,6,False
910,1573.2396616546941,7,False
911,-162.88105691198098,5,False
912,1857.3310613518665,8,False
913,957.9774386215788,6,False
914,-573.5413160023719,4,False
915,1193.239661654694,7,False
916,1057.9774386215786,6,False
917,2562.3310613518665,8,False
918,1338.2396616546941,7,False
919,817.9774386215788,6,False
920,2342.331061351866,8,False
921,627.9774386215788,6,False
922,1532.3310613518665,8,False
923,232.11894308801902,5,False
924,1237.9774386215788,6,False
925,2162.331061351866,8,False
926,-543.5413160023719,4,False
927,1924.815691307932,9,False
928,897.9774386215787,6,False
929,1657.3310613518665,8,False
930,1257.9774386215788,6,False
931,1478.2396616546941,7,False
932,1422.9774386215786,6,False
933,2372.3310613518665,8,False
934,1302.9774386215786,6,False
935,1287.9774386215786,6,False
936,2088.239661654694,7,False
937,1417.9774386215788,6,False
938,2089.815691307932,9,False
939,1692.3310613518665,8,False
940,1112.9774386215788,6,False
941,1107.9774386215788,6,False
942,1322.9774386215788,6,False
943,1012.9774386215787,6,False
944,2179.815691307932,9,False
945,1237.9774386215788,6,False
946,1892.3310613518665,8,False
947,1102.9774386215788,6,False
948,1182.9774386215786,6,False
949,1068.2396616546941,7,False
950,1132.9774386215788,6,False
951,-488.5413160023719,4,False
952,1167.9774386215788,6,False
953,792.9774386215788,6,False
